bps_region_code,province,district,poverty_rate,poverty_year,merge_key
3174,DKI JAKARTA,Kota Jakarta Barat,3.91,2025,DKI JAKARTA|KOTA JAKARTA BARAT
3101,DKI JAKARTA,Kepulauan Seribu,12.37,2025,DKI JAKARTA|KEPULAUAN SERIBU
9111,PAPUA BARAT,Manokwari Selatan,26.52,2025,PAPUA BARAT|MANOKWARI SELATAN
7413,SULAWESI TENGGARA,Muna Barat,12.83,2025,SULAWESI TENGGARA|MUNA BARAT
3602,BANTEN,Lebak,8.03,2025,BANTEN|LEBAK
1203,SUMATERA UTARA,Tapanuli Selatan,6.16,2025,SUMATERA UTARA|TAPANULI SELATAN
3205,JAWA BARAT,Garut,9.39,2025,JAWA BARAT|GARUT
3403,D I YOGYAKARTA,Gunung Kidul,14.15,2025,D I YOGYAKARTA|GUNUNG KIDUL
3525,JAWA TIMUR,Gresik,9.95,2025,JAWA TIMUR|GRESIK
1310,SUMATERA BARAT,Solok Selatan,6.0,2025,SUMATERA BARAT|SOLOK SELATAN
6107,KALIMANTAN BARAT,Sintang,7.93,2025,KALIMANTAN BARAT|SINTANG
6504,KALIMANTAN UTARA,Nunukan,5.27,2025,KALIMANTAN UTARA|NUNUKAN
7303,SULAWESI SELATAN,Bantaeng,7.68,2025,SULAWESI SELATAN|BANTAENG
6403,KALIMANTAN TIMUR,Kutai Kartanegara,6.72,2025,KALIMANTAN TIMUR|KUTAI KARTANEGARA
1277,SUMATERA UTARA,Kota Padangsidimpuan,5.61,2025,SUMATERA UTARA|KOTA PADANGSIDIMPUAN
1613,SUMATERA SELATAN,Musi Rawas Utara,15.25,2025,SUMATERA SELATAN|MUSI RAWAS UTARA
1609,SUMATERA SELATAN,Ogan Komering Ulu Timur,8.86,2025,SUMATERA SELATAN|OGAN KOMERING ULU TIMUR
3507,JAWA TIMUR,Malang,8.78,2025,JAWA TIMUR|MALANG
7308,SULAWESI SELATAN,Maros,8.9,2025,SULAWESI SELATAN|MAROS
6202,KALIMANTAN TENGAH,Kotawaringin Timur,5.83,2025,KALIMANTAN TENGAH|KOTAWARINGIN TIMUR
8108,MALUKU,Maluku Barat Daya,27.65,2025,MALUKU|MALUKU BARAT DAYA
3317,JAWA TENGAH,Rembang,13.01,2025,JAWA TENGAH|REMBANG
6502,KALIMANTAN UTARA,Bulungan,7.26,2025,KALIMANTAN UTARA|BULUNGAN
6472,KALIMANTAN TIMUR,Kota Samarinda,3.45,2025,KALIMANTAN TIMUR|KOTA SAMARINDA
3327,JAWA TENGAH,Pemalang,13.32,2025,JAWA TENGAH|PEMALANG
3308,JAWA TENGAH,Magelang,9.9,2025,JAWA TENGAH|MAGELANG
1375,SUMATERA BARAT,Kota Bukittinggi,3.78,2025,SUMATERA BARAT|KOTA BUKITTINGGI
1705,BENGKULU,Seluma,15.98,2025,BENGKULU|SELUMA
1210,SUMATERA UTARA,Dairi,6.98,2025,SUMATERA UTARA|DAIRI
7305,SULAWESI SELATAN,Takalar,7.27,2025,SULAWESI SELATAN|TAKALAR
1174,ACEH,Kota Lhokseumawe,9.01,2025,ACEH|KOTA LHOKSEUMAWE
8103,MALUKU,Maluku Tengah,16.71,2025,MALUKU|MALUKU TENGAH
1276,SUMATERA UTARA,Kota Binjai,4.71,2025,SUMATERA UTARA|KOTA BINJAI
2104,KEPULAUAN RIAU,Lingga,9.12,2025,KEPULAUAN RIAU|LINGGA
7211,SULAWESI TENGAH,Banggai Laut,12.71,2025,SULAWESI TENGAH|BANGGAI LAUT
9471,PAPUA,Kota Jayapura,12.03,2025,PAPUA|KOTA JAYAPURA
6310,KALIMANTAN SELATAN,Tanah Bumbu,3.13,2025,KALIMANTAN SELATAN|TANAH BUMBU
1504,JAMBI,Batang Hari,8.27,2025,JAMBI|BATANG HARI
3578,JAWA TIMUR,Kota Surabaya,3.56,2025,JAWA TIMUR|KOTA SURABAYA
5208,NUSA TENGGARA BARAT,Lombok Utara,20.74,2025,NUSA TENGGARA BARAT|LOMBOK UTARA
7109,SULAWESI UTARA,Minahasa Tenggara,10.31,2025,SULAWESI UTARA|MINAHASA TENGGARA
7304,SULAWESI SELATAN,Jeneponto,11.42,2025,SULAWESI SELATAN|JENEPONTO
8172,MALUKU,Kota Tual,19.39,2025,MALUKU|KOTA TUAL
1406,RIAU,Kampar,6.29,2025,RIAU|KAMPAR
5308,NUSA TENGGARA TIMUR,Lembata,23.27,2025,NUSA TENGGARA TIMUR|LEMBATA
3577,JAWA TIMUR,Kota Madiun,3.89,2025,JAWA TIMUR|KOTA MADIUN
7206,SULAWESI TENGAH,Toli-Toli,12.2,2025,SULAWESI TENGAH|TOLI TOLI
9602,PAPUA TENGAH,Dogiyai,29.34,2025,PAPUA TENGAH|DOGIYAI
1804,LAMPUNG,Lampung Timur,12.15,2025,LAMPUNG|LAMPUNG TIMUR
7172,SULAWESI UTARA,Kota Bitung,5.81,2025,SULAWESI UTARA|KOTA BITUNG
7318,SULAWESI SELATAN,Tana Toraja,10.54,2025,SULAWESI SELATAN|TANA TORAJA
3518,JAWA TIMUR,Nganjuk,10.06,2025,JAWA TIMUR|NGANJUK
9408,PAPUA,Kepulauan Yapen,28.0,2025,PAPUA|KEPULAUAN YAPEN
3601,BANTEN,Pandeglang,8.51,2025,BANTEN|PANDEGLANG
5311,NUSA TENGGARA TIMUR,Ende,21.31,2025,NUSA TENGGARA TIMUR|ENDE
7111,SULAWESI UTARA,Bolaang Mongondow Timur,5.32,2025,SULAWESI UTARA|BOLAANG MONGONDOW TIMUR
1175,ACEH,Kota Subulussalam,13.88,2025,ACEH|KOTA SUBULUSSALAM
7315,SULAWESI SELATAN,Pinrang,8.38,2025,SULAWESI SELATAN|PINRANG
5306,NUSA TENGGARA TIMUR,Belu,12.79,2025,NUSA TENGGARA TIMUR|BELU
7102,SULAWESI UTARA,Minahasa,5.88,2025,SULAWESI UTARA|MINAHASA
9605,PAPUA TENGAH,Paniai,36.31,2025,PAPUA TENGAH|PANIAI
3172,DKI JAKARTA,Kota Jakarta Timur,3.94,2025,DKI JAKARTA|KOTA JAKARTA TIMUR
6104,KALIMANTAN BARAT,Mempawah,4.49,2025,KALIMANTAN BARAT|MEMPAWAH
1308,SUMATERA BARAT,Lima Puluh Kota,6.1,2025,SUMATERA BARAT|LIMA PULUH KOTA
3171,DKI JAKARTA,Kota Jakarta Selatan,3.23,2025,DKI JAKARTA|KOTA JAKARTA SELATAN
7210,SULAWESI TENGAH,Sigi,10.47,2025,SULAWESI TENGAH|SIGI
7271,SULAWESI TENGAH,Kota Palu,5.26,2025,SULAWESI TENGAH|KOTA PALU
3524,JAWA TIMUR,Lamongan,12.03,2025,JAWA TIMUR|LAMONGAN
5317,NUSA TENGGARA TIMUR,Sumba Barat Daya,25.66,2025,NUSA TENGGARA TIMUR|SUMBA BARAT DAYA
1202,SUMATERA UTARA,Mandailing Natal,7.91,2025,SUMATERA UTARA|MANDAILING NATAL
1612,SUMATERA SELATAN,Penukal Abab Lematang Ilir,9.27,2025,SUMATERA SELATAN|PENUKAL ABAB LEMATANG ILIR
3326,JAWA TENGAH,Pekalongan,8.05,2025,JAWA TENGAH|PEKALONGAN
6209,KALIMANTAN TENGAH,Katingan,5.3,2025,KALIMANTAN TENGAH|KATINGAN
3526,JAWA TIMUR,Bangkalan,18.25,2025,JAWA TIMUR|BANGKALAN
1508,JAMBI,Tebo,5.97,2025,JAMBI|TEBO
6108,KALIMANTAN BARAT,Kapuas Hulu,6.86,2025,KALIMANTAN BARAT|KAPUAS HULU
3212,JAWA BARAT,Indramayu,11.02,2025,JAWA BARAT|INDRAMAYU
6411,KALIMANTAN TIMUR,Mahakam Ulu,10.09,2025,KALIMANTAN TIMUR|MAHAKAM ULU
6201,KALIMANTAN TENGAH,Kotawaringin Barat,4.27,2025,KALIMANTAN TENGAH|KOTAWARINGIN BARAT
1374,SUMATERA BARAT,Kota Padang Panjang,4.97,2025,SUMATERA BARAT|KOTA PADANG PANJANG
6208,KALIMANTAN TENGAH,Seruyan,6.72,2025,KALIMANTAN TENGAH|SERUYAN
6271,KALIMANTAN TENGAH,Kota Palangka Raya,3.62,2025,KALIMANTAN TENGAH|KOTA PALANGKA RAYA
3217,JAWA BARAT,Bandung Barat,9.87,2025,JAWA BARAT|BANDUNG BARAT
3322,JAWA TENGAH,Semarang,6.3,2025,JAWA TENGAH|SEMARANG
1273,SUMATERA UTARA,Kota Pematang Siantar,6.24,2025,SUMATERA UTARA|KOTA PEMATANG SIANTAR
7203,SULAWESI TENGAH,Morowali,10.38,2025,SULAWESI TENGAH|MOROWALI
5271,NUSA TENGGARA BARAT,Kota Mataram,7.15,2025,NUSA TENGGARA BARAT|KOTA MATARAM
9704,PAPUA PEGUNUNGAN,Tolikara,28.75,2025,PAPUA PEGUNUNGAN|TOLIKARA
3373,JAWA TENGAH,Kota Salatiga,4.2,2025,JAWA TENGAH|KOTA SALATIGA
7505,GORONTALO,Gorontalo Utara,15.89,2025,GORONTALO|GORONTALO UTARA
3307,JAWA TENGAH,Wonosobo,13.34,2025,JAWA TENGAH|WONOSOBO
1105,ACEH,Aceh Timur,11.24,2025,ACEH|ACEH TIMUR
1172,ACEH,Kota Sabang,12.75,2025,ACEH|KOTA SABANG
9403,PAPUA,Jayapura,13.03,2025,PAPUA|JAYAPURA
5315,NUSA TENGGARA TIMUR,Manggarai Barat,16.09,2025,NUSA TENGGARA TIMUR|MANGGARAI BARAT
1225,SUMATERA UTARA,Nias Barat,22.47,2025,SUMATERA UTARA|NIAS BARAT
1471,RIAU,Kota Pekanbaru,3.19,2025,RIAU|KOTA PEKANBARU
7411,SULAWESI TENGGARA,Kolaka Timur,12.57,2025,SULAWESI TENGGARA|KOLAKA TIMUR
1221,SUMATERA UTARA,Padang Lawas,7.32,2025,SUMATERA UTARA|PADANG LAWAS
1807,LAMPUNG,Way Kanan,9.36,2025,LAMPUNG|WAY KANAN
1115,ACEH,Nagan Raya,15.42,2025,ACEH|NAGAN RAYA
7204,SULAWESI TENGAH,Poso,12.9,2025,SULAWESI TENGAH|POSO
1373,SUMATERA BARAT,Kota Sawah Lunto,2.72,2025,SUMATERA BARAT|KOTA SAWAH LUNTO
8202,MALUKU UTARA,Halmahera Tengah,9.16,2025,MALUKU UTARA|HALMAHERA TENGAH
3512,JAWA TIMUR,Situbondo,11.17,2025,JAWA TIMUR|SITUBONDO
7412,SULAWESI TENGGARA,Konawe Kepulauan,14.42,2025,SULAWESI TENGGARA|KONAWE KEPULAUAN
6302,KALIMANTAN SELATAN,Kota Baru,4.39,2025,KALIMANTAN SELATAN|KOTA BARU
6306,KALIMANTAN SELATAN,Hulu Sungai Selatan,3.12,2025,KALIMANTAN SELATAN|HULU SUNGAI SELATAN
7406,SULAWESI TENGGARA,Bombana,10.14,2025,SULAWESI TENGGARA|BOMBANA
9420,PAPUA,Keerom,17.76,2025,PAPUA|KEEROM
6301,KALIMANTAN SELATAN,Tanah Laut,3.0,2025,KALIMANTAN SELATAN|TANAH LAUT
8207,MALUKU UTARA,Pulau Morotai,4.49,2025,MALUKU UTARA|PULAU MOROTAI
1407,RIAU,Rokan Hulu,8.71,2025,RIAU|ROKAN HULU
3501,JAWA TIMUR,Pacitan,12.97,2025,JAWA TIMUR|PACITAN
1871,LAMPUNG,Kota Bandar Lampung,6.95,2025,LAMPUNG|KOTA BANDAR LAMPUNG
3207,JAWA BARAT,Ciamis,7.19,2025,JAWA BARAT|CIAMIS
1211,SUMATERA UTARA,Karo,6.66,2025,SUMATERA UTARA|KARO
3513,JAWA TIMUR,Probolinggo,16.31,2025,JAWA TIMUR|PROBOLINGGO
7317,SULAWESI SELATAN,Luwu,10.97,2025,SULAWESI SELATAN|LUWU
1808,LAMPUNG,Tulangbawang,7.54,2025,LAMPUNG|TULANGBAWANG
3271,JAWA BARAT,Kota Bogor,5.89,2025,JAWA BARAT|KOTA BOGOR
7309,SULAWESI SELATAN,Pangkajene Dan Kepulauan,11.6,2025,SULAWESI SELATAN|PANGKAJENE DAN KEPULAUAN
3516,JAWA TIMUR,Mojokerto,8.79,2025,JAWA TIMUR|MOJOKERTO
3522,JAWA TIMUR,Bojonegoro,11.49,2025,JAWA TIMUR|BOJONEGORO
7201,SULAWESI TENGAH,Banggai Kepulauan,11.49,2025,SULAWESI TENGAH|BANGGAI KEPULAUAN
3305,JAWA TENGAH,Kebumen,13.58,2025,JAWA TENGAH|KEBUMEN
9701,PAPUA PEGUNUNGAN,Nduga,32.89,2025,PAPUA PEGUNUNGAN|NDUGA
3401,D I YOGYAKARTA,Kulon Progo,14.53,2025,D I YOGYAKARTA|KULON PROGO
1214,SUMATERA UTARA,Nias Selatan,16.16,2025,SUMATERA UTARA|NIAS SELATAN
1702,BENGKULU,Rejang Lebong,11.71,2025,BENGKULU|REJANG LEBONG
7371,SULAWESI SELATAN,Kota Makassar,4.43,2025,SULAWESI SELATAN|KOTA MAKASSAR
1571,JAMBI,Kota Jambi,7.69,2025,JAMBI|KOTA JAMBI
3310,JAWA TENGAH,Klaten,11.0,2025,JAWA TENGAH|KLATEN
3502,JAWA TIMUR,Ponorogo,8.86,2025,JAWA TIMUR|PONOROGO
9427,PAPUA,Supiori,42.56,2025,PAPUA|SUPIORI
9601,PAPUA TENGAH,Mimika,13.7,2025,PAPUA TENGAH|MIMIKA
1409,RIAU,Rokan Hilir,7.16,2025,RIAU|ROKAN HILIR
1501,JAMBI,Kerinci,7.48,2025,JAMBI|KERINCI
1809,LAMPUNG,Pesawaran,10.93,2025,LAMPUNG|PESAWARAN
3523,JAWA TIMUR,Tuban,14.13,2025,JAWA TIMUR|TUBAN
1173,ACEH,Kota Langsa,8.59,2025,ACEH|KOTA LANGSA
3527,JAWA TIMUR,Sampang,20.61,2025,JAWA TIMUR|SAMPANG
6102,KALIMANTAN BARAT,Bengkayang,5.83,2025,KALIMANTAN BARAT|BENGKAYANG
3320,JAWA TENGAH,Jepara,5.79,2025,JAWA TENGAH|JEPARA
8109,MALUKU,Buru Selatan,14.84,2025,MALUKU|BURU SELATAN
1503,JAMBI,Sarolangun,8.74,2025,JAMBI|SAROLANGUN
3301,JAWA TENGAH,Cilacap,9.41,2025,JAWA TENGAH|CILACAP
6303,KALIMANTAN SELATAN,Banjar,2.74,2025,KALIMANTAN SELATAN|BANJAR
1304,SUMATERA BARAT,Sijunjung,5.15,2025,SUMATERA BARAT|SIJUNJUNG
3215,JAWA BARAT,Karawang,7.08,2025,JAWA BARAT|KARAWANG
6304,KALIMANTAN SELATAN,Barito Kuala,4.31,2025,KALIMANTAN SELATAN|BARITO KUALA
8204,MALUKU UTARA,Halmahera Selatan,4.81,2025,MALUKU UTARA|HALMAHERA SELATAN
6109,KALIMANTAN BARAT,Sekadau,5.61,2025,KALIMANTAN BARAT|SEKADAU
8208,MALUKU UTARA,Pulau Taliabu,6.63,2025,MALUKU UTARA|PULAU TALIABU
7101,SULAWESI UTARA,Bolaang Mongondow,6.98,2025,SULAWESI UTARA|BOLAANG MONGONDOW
8101,MALUKU,Maluku Tenggara Barat,23.38,2025,MALUKU|MALUKU TENGGARA BARAT
9501,PAPUA SELATAN,Merauke,11.31,2025,PAPUA SELATAN|MERAUKE
3503,JAWA TIMUR,Trenggalek,10.29,2025,JAWA TIMUR|TRENGGALEK
7171,SULAWESI UTARA,Kota Manado,4.99,2025,SULAWESI UTARA|KOTA MANADO
7301,SULAWESI SELATAN,Kepulauan Selayar,10.61,2025,SULAWESI SELATAN|KEPULAUAN SELAYAR
8203,MALUKU UTARA,Kepulauan Sula,7.65,2025,MALUKU UTARA|KEPULAUAN SULA
7472,SULAWESI TENGGARA,Kota Baubau,6.83,2025,SULAWESI TENGGARA|KOTA BAUBAU
8206,MALUKU UTARA,Halmahera Timur,10.54,2025,MALUKU UTARA|HALMAHERA TIMUR
1305,SUMATERA BARAT,Tanah Datar,3.59,2025,SUMATERA BARAT|TANAH DATAR
1303,SUMATERA BARAT,Solok,6.52,2025,SUMATERA BARAT|SOLOK
9112,PAPUA BARAT,Pegunungan Arfak,30.88,2025,PAPUA BARAT|PEGUNUNGAN ARFAK
3511,JAWA TIMUR,Bondowoso,12.2,2025,JAWA TIMUR|BONDOWOSO
1707,BENGKULU,Lebong,10.1,2025,BENGKULU|LEBONG
5301,NUSA TENGGARA TIMUR,Sumba Barat,26.47,2025,NUSA TENGGARA TIMUR|SUMBA BARAT
1672,SUMATERA SELATAN,Kota Prabumulih,9.75,2025,SUMATERA SELATAN|KOTA PRABUMULIH
1112,ACEH,Aceh Barat Daya,13.3,2025,ACEH|ACEH BARAT DAYA
7104,SULAWESI UTARA,Kepulauan Talaud,8.34,2025,SULAWESI UTARA|KEPULAUAN TALAUD
6311,KALIMANTAN SELATAN,Balangan,4.64,2025,KALIMANTAN SELATAN|BALANGAN
7306,SULAWESI SELATAN,Gowa,6.64,2025,SULAWESI SELATAN|GOWA
9608,PAPUA TENGAH,Puncak Jaya,35.46,2025,PAPUA TENGAH|PUNCAK JAYA
3325,JAWA TENGAH,Batang,7.79,2025,JAWA TENGAH|BATANG
7603,SULAWESI BARAT,Mamasa,13.66,2025,SULAWESI BARAT|MAMASA
8102,MALUKU,Maluku Tenggara,21.16,2025,MALUKU|MALUKU TENGGARA
3509,JAWA TIMUR,Jember,8.67,2025,JAWA TIMUR|JEMBER
5205,NUSA TENGGARA BARAT,Dompu,11.15,2025,NUSA TENGGARA BARAT|DOMPU
5304,NUSA TENGGARA TIMUR,Timor Tengah Selatan,24.5,2025,NUSA TENGGARA TIMUR|TIMOR TENGAH SELATAN
9409,PAPUA,Biak Numfor,25.73,2025,PAPUA|BIAK NUMFOR
1311,SUMATERA BARAT,Dharmasraya,4.61,2025,SUMATERA BARAT|DHARMASRAYA
1906,KEP. BANGKA BELITUNG,Belitung Timur,6.69,2025,KEPULAUAN BANGKA BELITUNG|BELITUNG TIMUR
1376,SUMATERA BARAT,Kota Payakumbuh,4.95,2025,SUMATERA BARAT|KOTA PAYAKUMBUH
1602,SUMATERA SELATAN,Ogan Komering Ilir,11.84,2025,SUMATERA SELATAN|OGAN KOMERING ILIR
5105,BALI,Klungkung,5.18,2025,BALI|KLUNGKUNG
8106,MALUKU,Seram Bagian Barat,21.85,2025,MALUKU|SERAM BAGIAN BARAT
1403,RIAU,Indragiri Hilir,4.95,2025,RIAU|INDRAGIRI HILIR
9104,PAPUA BARAT,Teluk Bintuni,25.34,2025,PAPUA BARAT|TELUK BINTUNI
1502,JAMBI,Merangin,8.07,2025,JAMBI|MERANGIN
7471,SULAWESI TENGGARA,Kota Kendari,4.18,2025,SULAWESI TENGGARA|KOTA KENDARI
1272,SUMATERA UTARA,Kota Tanjung Balai,10.67,2025,SUMATERA UTARA|KOTA TANJUNG BALAI
1408,RIAU,Bengkalis,6.08,2025,RIAU|BENGKALIS
7110,SULAWESI UTARA,Bolaang Mongondow Selatan,10.52,2025,SULAWESI UTARA|BOLAANG MONGONDOW SELATAN
7307,SULAWESI SELATAN,Sinjai,7.41,2025,SULAWESI SELATAN|SINJAI
1204,SUMATERA UTARA,Tapanuli Tengah,11.03,2025,SUMATERA UTARA|TAPANULI TENGAH
1113,ACEH,Gayo Lues,16.77,2025,ACEH|GAYO LUES
1218,SUMATERA UTARA,Serdang Bedagai,6.18,2025,SUMATERA UTARA|SERDANG BEDAGAI
1701,BENGKULU,Bengkulu Selatan,15.72,2025,BENGKULU|BENGKULU SELATAN
3505,JAWA TIMUR,Blitar,7.57,2025,JAWA TIMUR|BLITAR
3514,JAWA TIMUR,Pasuruan,8.21,2025,JAWA TIMUR|PASURUAN
1205,SUMATERA UTARA,Tapanuli Utara,7.47,2025,SUMATERA UTARA|TAPANULI UTARA
1109,ACEH,Pidie,16.46,2025,ACEH|PIDIE
6404,KALIMANTAN TIMUR,Kutai Timur,8.07,2025,KALIMANTAN TIMUR|KUTAI TIMUR
6105,KALIMANTAN BARAT,Sanggau,4.61,2025,KALIMANTAN BARAT|SANGGAU
1813,LAMPUNG,Pesisir Barat,12.13,2025,LAMPUNG|PESISIR BARAT
3278,JAWA BARAT,Kota Tasikmalaya,10.84,2025,JAWA BARAT|KOTA TASIKMALAYA
6213,KALIMANTAN TENGAH,Murung Raya,6.19,2025,KALIMANTAN TENGAH|MURUNG RAYA
7402,SULAWESI TENGGARA,Muna,12.4,2025,SULAWESI TENGGARA|MUNA
1903,KEP. BANGKA BELITUNG,Bangka Barat,2.92,2025,KEPULAUAN BANGKA BELITUNG|BANGKA BARAT
2101,KEPULAUAN RIAU,Karimun,5.16,2025,KEPULAUAN RIAU|KARIMUN
1401,RIAU,Kuantan Singingi,6.99,2025,RIAU|KUANTAN SINGINGI
9504,PAPUA SELATAN,Asmat,28.47,2025,PAPUA SELATAN|ASMAT
1708,BENGKULU,Kepahiang,10.38,2025,BENGKULU|KEPAHIANG
5207,NUSA TENGGARA BARAT,Sumbawa Barat,10.98,2025,NUSA TENGGARA BARAT|SUMBAWA BARAT
6111,KALIMANTAN BARAT,Kayong Utara,8.75,2025,KALIMANTAN BARAT|KAYONG UTARA
1275,SUMATERA UTARA,Kota Medan,7.25,2025,SUMATERA UTARA|KOTA MEDAN
1801,LAMPUNG,Lampung Barat,9.93,2025,LAMPUNG|LAMPUNG BARAT
3306,JAWA TENGAH,Purworejo,10.06,2025,JAWA TENGAH|PURWOREJO
3510,JAWA TIMUR,Banyuwangi,6.13,2025,JAWA TIMUR|BANYUWANGI
1811,LAMPUNG,Mesuji,5.92,2025,LAMPUNG|MESUJI
1905,KEP. BANGKA BELITUNG,Bangka Selatan,4.17,2025,KEPULAUAN BANGKA BELITUNG|BANGKA SELATAN
3572,JAWA TIMUR,Kota Blitar,6.6,2025,JAWA TIMUR|KOTA BLITAR
9606,PAPUA TENGAH,Intan Jaya,39.21,2025,PAPUA TENGAH|INTAN JAYA
1220,SUMATERA UTARA,Padang Lawas Utara,8.04,2025,SUMATERA UTARA|PADANG LAWAS UTARA
1603,SUMATERA SELATAN,Muara Enim,9.45,2025,SUMATERA SELATAN|MUARA ENIM
1802,LAMPUNG,Tanggamus,10.1,2025,LAMPUNG|TANGGAMUS
3216,JAWA BARAT,Bekasi,4.36,2025,JAWA BARAT|BEKASI
2103,KEPULAUAN RIAU,Natuna,4.81,2025,KEPULAUAN RIAU|NATUNA
3573,JAWA TIMUR,Kota Malang,3.85,2025,JAWA TIMUR|KOTA MALANG
7322,SULAWESI SELATAN,Luwu Utara,10.74,2025,SULAWESI SELATAN|LUWU UTARA
7107,SULAWESI UTARA,Bolaang Mongondow Utara,7.15,2025,SULAWESI UTARA|BOLAANG MONGONDOW UTARA
1103,ACEH,Aceh Selatan,9.89,2025,ACEH|ACEH SELATAN
6210,KALIMANTAN TENGAH,Pulang Pisau,4.79,2025,KALIMANTAN TENGAH|PULANG PISAU
1405,RIAU,Siak,4.4,2025,RIAU|SIAK
1206,SUMATERA UTARA,Toba Samosir,7.21,2025,SUMATERA UTARA|TOBA SAMOSIR
3672,BANTEN,Kota Cilegon,3.44,2025,BANTEN|KOTA CILEGON
6171,KALIMANTAN BARAT,Kota Pontianak,4.0,2025,KALIMANTAN BARAT|KOTA PONTIANAK
1306,SUMATERA BARAT,Padang Pariaman,5.86,2025,SUMATERA BARAT|PADANG PARIAMAN
1222,SUMATERA UTARA,Labuhan Batu Selatan,6.8,2025,SUMATERA UTARA|LABUHAN BATU SELATAN
6503,KALIMANTAN UTARA,Tana Tidung,4.56,2025,KALIMANTAN UTARA|TANA TIDUNG
7173,SULAWESI UTARA,Kota Tomohon,4.86,2025,SULAWESI UTARA|KOTA TOMOHON
5312,NUSA TENGGARA TIMUR,Ngada,11.22,2025,NUSA TENGGARA TIMUR|NGADA
9428,PAPUA,Mamberamo Raya,35.09,2025,PAPUA|MAMBERAMO RAYA
6206,KALIMANTAN TENGAH,Sukamara,4.02,2025,KALIMANTAN TENGAH|SUKAMARA
5204,NUSA TENGGARA BARAT,Sumbawa,11.79,2025,NUSA TENGGARA BARAT|SUMBAWA
5104,BALI,Gianyar,3.71,2025,BALI|GIANYAR
3521,JAWA TIMUR,Ngawi,13.62,2025,JAWA TIMUR|NGAWI
1114,ACEH,Aceh Tamiang,10.84,2025,ACEH|ACEH TAMIANG
1904,KEP. BANGKA BELITUNG,Bangka Tengah,6.7,2025,KEPULAUAN BANGKA BELITUNG|BANGKA TENGAH
7408,SULAWESI TENGGARA,Kolaka Utara,12.94,2025,SULAWESI TENGGARA|KOLAKA UTARA
6401,KALIMANTAN TIMUR,Paser,8.13,2025,KALIMANTAN TIMUR|PASER
3276,JAWA BARAT,Kota Depok,2.31,2025,JAWA BARAT|KOTA DEPOK
3272,JAWA BARAT,Kota Sukabumi,6.9,2025,JAWA BARAT|KOTA SUKABUMI
